,I_ge
0,7.17492815096702
1,5.270496772143366
2,5.546725370403572
3,6.985370136288125
4,5.084409040789921
5,7.0306604032524636
6,5.017337579469769
7,5.288367491207835
8,5.988986212964704
9,6.815420206770997
10,5.937448806115905
11,7.457309725405017
12,5.156214390957363
13,6.666746611083619
14,5.267785840842444
15,4.966075943605808
16,5.336220645848949
17,6.4361488824377115
18,5.086090707670484
19,4.983505615236329
20,5.181988877786649
21,5.336758441497758
22,5.098099896646264
23,5.2078553969357735
24,4.997916187537186
25,5.682098287856718
26,4.955874938700376
27,5.036748526668711
28,4.996114456047636
29,4.984999516658065
30,7.406134925848777
31,5.639962834018791
32,5.488579437791217
33,7.267044246944983
34,5.066684037034909
35,5.437200894084291
36,5.272543451365086
37,5.958062992351388
38,5.298894302590275
39,5.944887761167489
40,5.121046100403924
41,7.153704648204757
42,5.396221596397117
43,8.288801876236915
44,5.199306876020992
45,7.371342381173454
46,6.572148727577484
47,7.426563531873026
48,6.750872160444849
49,5.930941414527003
50,5.867975616834092
51,5.012020266453886
52,7.924064430237402
53,5.06403569391477
54,7.407015444546968
55,6.21835583540509
56,7.546913403356067
57,7.556056161526125
58,4.972664513835866
59,5.787829064859162
60,5.489188387647583
61,5.945827325542339
62,5.078666542853156
63,5.839507995090745
64,6.45585692855035
65,5.929320430537628
66,5.029748803238815
67,7.0021104436732875
68,6.353649564576198
69,6.179029083820883
70,6.419965819702497
71,5.1749896782382265
72,5.031347036670745
73,7.032767161181704
74,7.3815678507646725
75,5.981741996154236
76,6.15494540896576
77,5.277678095827937
78,5.887381880143641
79,7.974102527711334
80,5.192233157511294
81,6.9069075780736355
82,5.575860027011043
83,5.1485735969029385
84,4.968007911556797
85,6.2949076492679215
86,5.742369789275359
87,7.288370944788918
88,7.497326889121886
89,6.645913599952435
90,5.841908570047765
91,7.032657659606625
92,5.979499833606561
93,5.70484579942582
94,7.466902358479447
95,7.05075798277562
96,6.126824069479585
97,6.059563445847631
98,5.155620057222911
99,4.965692116004187
100,7.13544902136835
101,8.31882148916334
102,6.7845930937355945
103,5.023671785173884
104,4.995393496809374
105,6.915369215796854
106,6.198165133467378
107,5.08201443136657
108,7.859312256480306
109,4.949032037635554
110,6.062814046054084
111,5.353231504712551
112,5.508182598233053
113,6.0527061860194475
114,5.1525711203360185
115,5.014054282647506
116,7.507792617319886
117,7.365546832063418
118,4.979703084114297
119,7.258658718107344
120,7.867318303279312
121,7.438466857857254
122,6.844092919636035
123,5.062519642003237
124,5.107292439488181
125,4.9914402518139545
126,6.9107163202027015
127,5.338561351287233
128,5.23842942059838
129,5.021496310870561
130,4.970611354225702
131,6.2184612605476595
132,5.337452663932577
133,5.207466634305418
134,8.339724907197414
135,5.647782069831418
136,6.823306443099238
137,7.850057443735201
138,7.976672583876999
139,7.949932279810101
140,4.978498918571716
141,5.926974329921882
142,7.786243996346412
143,6.82241214071907
144,4.97165806417726
145,4.979598149930766
146,5.1217928949547575
147,5.128318860937487
148,5.679110844939355
149,5.052702532020708
150,5.656537110355424
151,7.794842724127088
152,6.337501571810574
153,5.036694862011113
154,4.972933773011778
155,5.332761141668336
156,4.952335162342386
157,6.0604669608366795
158,5.010656349474332
159,4.960005150808002
160,6.544386694781845
161,6.82751040403732
162,6.1114426041352985
163,4.965627351777827
164,5.156888332832105
165,5.74124458791391
166,6.594013053729996
167,5.695397989898026
168,5.599068071653818
169,5.439231090123631
170,5.408870983127541
171,7.703844949168888
172,6.783713174756575
173,6.3153156959462455
174,5.076218549217523
175,5.474992809684902
176,5.566856753415573
177,6.456655188514091
178,5.824062820236903
179,5.748347911891919
180,6.547857933971461
181,7.484068468917883
182,6.691124750492685
183,6.714206150058182
184,6.057628685044124
185,6.018053796712935
186,8.225879608727745
187,6.103518395133064
188,5.74269915449734
189,8.083210801357211
190,5.90549002515775
191,6.690504767501195
192,6.666383525884677
193,6.765046152908816
194,4.975744898297527
195,5.836890246928313
196,5.261407572777364
197,7.950089224000049
198,7.63747881196314
199,7.176976256604519
200,4.955519180657661
201,7.234705220083919
202,6.807468744320875
203,4.973586926171143
204,6.921176552269262
205,7.599997311648217
206,6.068341036769255
207,5.037116551390612
208,4.9735304299099
209,6.996397881368058
210,7.427789962257153
211,6.226739787446439
212,6.327188627866669
213,8.064987767764352
214,7.25543237734718
215,6.242957970469721
216,5.061778082348543
217,5.087251145040106
218,8.173302404069368
219,6.4401117960069
220,7.946232809146664
221,4.999582890412698
222,6.878350666249645
223,7.966415285877326
224,5.679545900708386
225,5.449047309296244
226,4.973028679206007
227,5.396927133543643
228,4.972267618939013
229,5.125221974265608
230,7.4268272044438435
231,4.983303101112088
232,7.6218158953793
233,6.922765568931411
234,4.955491086273575
235,4.999934371022701
236,5.866316027418734
237,5.28809286985676
238,6.1461682142067
239,7.757787828061516
240,5.543427205142814
241,6.017747252064747
242,5.259921109070236
243,5.480730299671404
244,7.068873176530167
245,7.694850318866148
246,4.988170001675914
247,7.212194390095547
248,5.113652166786887
249,5.7966124253341675
250,7.943584071080014
251,5.408026836843425
252,7.852003037261162
253,7.4431808604722836
254,5.390824407736707
255,5.087176516194033
256,5.083004371962419
257,6.359980522140493
258,5.8604252639667
259,7.004731959924264
260,5.129378963294082
261,6.6795304856873585
262,6.51973753363139
263,6.82872520706559
264,5.185640063666831
265,5.027810142396338
266,6.92185136048322
267,5.120765179880962
268,7.206232970763262
269,5.757887407839149
270,5.415195955018918
271,8.330100575920955
272,5.020351820396306
273,5.032181602458523
274,7.420412197667696
275,6.760246934166538
276,5.757143569238099
277,7.880330739920662
278,7.161563048580762
279,6.7583169128490574
280,5.644401838258679
281,5.757623869011168
282,5.7061739932330635
283,6.926577939457541
